User  Input,Chatbot Response,Timestamp
hey,Hello,2024-12-29 15:25:48
what are you?,I can answer questions and provide assistance,2024-12-29 15:26:05
i need help,"Sure, what do you need help with?",2024-12-29 15:26:22
sem 3 syllabus,"Sem 3 includes Data Structures, Operating Systems, and Mathematics III.",2024-12-29 15:26:42
ml faculty contact,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:27:21
ml faculty ,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:27:26
machine learning faculty ,Machine Learning faculty: Prof. Sunil Sharma | Email: machinelearning@college.edu | Phone: 123-456-3003,2024-12-29 15:27:35
cultural event,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:28:22
event,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:28:32
cultural_event,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:28:50
cultural_event,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:29:02
cultural fest event,"Cultural fest events include dance, drama, and music performances. 🎭",2024-12-29 15:29:23
college time,"The college timings are as follows: 
- Monday to Friday: 8:00 AM to 6:00 PM 
- Saturday: 8:00 AM to 1:00 PM. 

Holiday Schedule: 
- Republic Day: January 26 
- Independence Day: August 15 
- Di wali Break: November 10-15. 
For a complete list, check the academic calendar on the portal.",2024-12-29 15:29:33
thanks,You're welcome,2024-12-29 15:29:39
hey,Hi there,2024-12-29 15:32:09
i need help,How can I assist you?,2024-12-29 15:32:15
machine leaning faculty,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:32:26
math faculty contact,Math faculty: Dr. Priya Mehta | Email: math@college.edu | Phone: 123-456-2002,2024-12-29 15:32:41
college time,"The college timings are as follows: 
- Monday to Friday: 8:00 AM to 6:00 PM 
- Saturday: 8:00 AM to 1:00 PM. 

Holiday Schedule: 
- Republic Day: January 26 
- Independence Day: August 15 
- Di wali Break: November 10-15. 
For a complete list, check the academic calendar on the portal.",2024-12-29 15:32:50
fest,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:33:09
sem3 syllabus,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:33:18
sem 3 syllabus,"Sem 3 includes Data Structures, Operating Systems, and Mathematics III.",2024-12-29 15:33:26
fees,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:33:35
hehe,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-29 15:33:44
college fest ,"The college timings are as follows: 
- Monday to Friday: 8:00 AM to 6:00 PM 
- Saturday: 8:00 AM to 1:00 PM. 

Holiday Schedule: 
- Republic Day: January 26 
- Independence Day: August 15 
- Di wali Break: November 10-15. 
For a complete list, check the academic calendar on the portal.",2024-12-29 15:33:53
college time,"The college timings are as follows: 
- Monday to Friday: 8:00 AM to 6:00 PM 
- Saturday: 8:00 AM to 1:00 PM. 

Holiday Schedule: 
- Republic Day: January 26 
- Independence Day: August 15 
- Di wali Break: November 10-15. 
For a complete list, check the academic calendar on the portal.",2024-12-30 23:05:58
math faculty contact,Math faculty: Dr. Priya Mehta | Email: math@college.edu | Phone: 123-456-2002,2024-12-30 23:06:20
sem 3 syllabus,"Sem 3 includes Data Structures, Operating Systems, and Mathematics III.",2024-12-30 23:06:34
yeyeyabbs,"For payment or fee-related queries, or general non-departmental questions, please contact the Main Office: 
Address: 123 College Avenue, City Name 
Email: admin@college.edu 
Phone: 123-456-7890 📞",2024-12-30 23:07:29
hi,Hey,2024-12-30 23:11:03
math faculty contact,Math faculty: Dr. Priya Mehta | Email: math@college.edu | Phone: 123-456-2002,2024-12-30 23:11:18
